date,areaCode,areaName,areaType,covidOccupiedMVBeds
2020-08-05,K02000001,United Kingdom,overview,73
2020-08-04,K02000001,United Kingdom,overview,76
2020-08-03,K02000001,United Kingdom,overview,77
2020-08-02,K02000001,United Kingdom,overview,85
2020-08-01,K02000001,United Kingdom,overview,92
2020-07-31,K02000001,United Kingdom,overview,86
2020-07-30,K02000001,United Kingdom,overview,84
2020-07-29,K02000001,United Kingdom,overview,87
2020-07-28,K02000001,United Kingdom,overview,93
2020-07-27,K02000001,United Kingdom,overview,97
2020-07-26,K02000001,United Kingdom,overview,92
2020-07-25,K02000001,United Kingdom,overview,93
2020-07-24,K02000001,United Kingdom,overview,104
2020-07-23,K02000001,United Kingdom,overview,111
2020-07-22,K02000001,United Kingdom,overview,110
2020-07-21,K02000001,United Kingdom,overview,137
2020-07-20,K02000001,United Kingdom,overview,129
2020-07-19,K02000001,United Kingdom,overview,131
2020-07-18,K02000001,United Kingdom,overview,137
2020-07-17,K02000001,United Kingdom,overview,143
2020-07-16,K02000001,United Kingdom,overview,142
2020-07-15,K02000001,United Kingdom,overview,153
2020-07-14,K02000001,United Kingdom,overview,145
2020-07-13,K02000001,United Kingdom,overview,162
2020-07-12,K02000001,United Kingdom,overview,159
2020-07-11,K02000001,United Kingdom,overview,168
2020-07-10,K02000001,United Kingdom,overview,191
2020-07-09,K02000001,United Kingdom,overview,188
2020-07-08,K02000001,United Kingdom,overview,185
2020-07-07,K02000001,United Kingdom,overview,197
2020-07-06,K02000001,United Kingdom,overview,209
2020-07-05,K02000001,United Kingdom,overview,217
2020-07-04,K02000001,United Kingdom,overview,220
2020-07-03,K02000001,United Kingdom,overview,231
2020-07-02,K02000001,United Kingdom,overview,239
2020-07-01,K02000001,United Kingdom,overview,259
2020-06-30,K02000001,United Kingdom,overview,279
2020-06-29,K02000001,United Kingdom,overview,262
2020-06-28,K02000001,United Kingdom,overview,270
2020-06-27,K02000001,United Kingdom,overview,270
2020-06-26,K02000001,United Kingdom,overview,268
2020-06-25,K02000001,United Kingdom,overview,276
2020-06-24,K02000001,United Kingdom,overview,316
2020-06-23,K02000001,United Kingdom,overview,311
2020-06-22,K02000001,United Kingdom,overview,340
2020-06-21,K02000001,United Kingdom,overview,310
2020-06-20,K02000001,United Kingdom,overview,346
2020-06-19,K02000001,United Kingdom,overview,330
2020-06-18,K02000001,United Kingdom,overview,352
2020-06-17,K02000001,United Kingdom,overview,357
2020-06-16,K02000001,United Kingdom,overview,378
2020-06-15,K02000001,United Kingdom,overview,385
2020-06-14,K02000001,United Kingdom,overview,393
2020-06-13,K02000001,United Kingdom,overview,390
2020-06-12,K02000001,United Kingdom,overview,393
2020-06-11,K02000001,United Kingdom,overview,390
2020-06-10,K02000001,United Kingdom,overview,439
2020-06-09,K02000001,United Kingdom,overview,491
2020-06-08,K02000001,United Kingdom,overview,509
2020-06-07,K02000001,United Kingdom,overview,515
2020-06-06,K02000001,United Kingdom,overview,540
2020-06-05,K02000001,United Kingdom,overview,554
2020-06-04,K02000001,United Kingdom,overview,571
2020-06-03,K02000001,United Kingdom,overview,602
2020-06-02,K02000001,United Kingdom,overview,636
2020-06-01,K02000001,United Kingdom,overview,652
2020-05-31,K02000001,United Kingdom,overview,679
2020-05-30,K02000001,United Kingdom,overview,704
2020-05-29,K02000001,United Kingdom,overview,719
2020-05-28,K02000001,United Kingdom,overview,751
2020-05-27,K02000001,United Kingdom,overview,783
2020-05-26,K02000001,United Kingdom,overview,847
2020-05-25,K02000001,United Kingdom,overview,863
2020-05-24,K02000001,United Kingdom,overview,886
2020-05-23,K02000001,United Kingdom,overview,928
2020-05-22,K02000001,United Kingdom,overview,964
2020-05-21,K02000001,United Kingdom,overview,1008
2020-05-20,K02000001,United Kingdom,overview,1034
2020-05-19,K02000001,United Kingdom,overview,1106
2020-05-18,K02000001,United Kingdom,overview,1141
2020-05-17,K02000001,United Kingdom,overview,1196
2020-05-16,K02000001,United Kingdom,overview,1234
2020-05-15,K02000001,United Kingdom,overview,1337
2020-05-14,K02000001,United Kingdom,overview,1314
2020-05-13,K02000001,United Kingdom,overview,1342
2020-05-12,K02000001,United Kingdom,overview,1414
2020-05-11,K02000001,United Kingdom,overview,1485
2020-05-10,K02000001,United Kingdom,overview,1538
2020-05-09,K02000001,United Kingdom,overview,1585
2020-05-08,K02000001,United Kingdom,overview,1642
2020-05-07,K02000001,United Kingdom,overview,1685
2020-05-06,K02000001,United Kingdom,overview,1802
2020-05-05,K02000001,United Kingdom,overview,1874
2020-05-04,K02000001,United Kingdom,overview,1936
2020-05-03,K02000001,United Kingdom,overview,2009
2020-05-02,K02000001,United Kingdom,overview,2068
2020-05-01,K02000001,United Kingdom,overview,2178
2020-04-30,K02000001,United Kingdom,overview,2224
2020-04-29,K02000001,United Kingdom,overview,2286
2020-04-28,K02000001,United Kingdom,overview,2353
2020-04-27,K02000001,United Kingdom,overview,2460
2020-04-26,K02000001,United Kingdom,overview,2580
2020-04-25,K02000001,United Kingdom,overview,2702
2020-04-24,K02000001,United Kingdom,overview,2703
2020-04-23,K02000001,United Kingdom,overview,2867
2020-04-22,K02000001,United Kingdom,overview,2964
2020-04-21,K02000001,United Kingdom,overview,3036
2020-04-20,K02000001,United Kingdom,overview,3130
2020-04-19,K02000001,United Kingdom,overview,3176
2020-04-18,K02000001,United Kingdom,overview,3247
2020-04-17,K02000001,United Kingdom,overview,3162
2020-04-16,K02000001,United Kingdom,overview,3222
2020-04-15,K02000001,United Kingdom,overview,3228
2020-04-14,K02000001,United Kingdom,overview,3234
2020-04-13,K02000001,United Kingdom,overview,3277
2020-04-12,K02000001,United Kingdom,overview,3301
2020-04-11,K02000001,United Kingdom,overview,3274
2020-04-10,K02000001,United Kingdom,overview,3228
2020-04-09,K02000001,United Kingdom,overview,2963
2020-04-08,K02000001,United Kingdom,overview,2967
2020-04-07,K02000001,United Kingdom,overview,2864
2020-04-06,K02000001,United Kingdom,overview,2644
2020-04-05,K02000001,United Kingdom,overview,2469
2020-04-04,K02000001,United Kingdom,overview,2309
2020-04-03,K02000001,United Kingdom,overview,2120
2020-04-02,K02000001,United Kingdom,overview,1813
